dataset,ep_idx,episode,observability,optimality,note,updated_at,videos
pen_in_cup,43,Sat_Jun__6_01:10:13_2026,full,better,,2026-06-08T16:14:21,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/043_Sat_Jun__6_01:10:13_2026.mp4""]"
pen_in_cup,44,Sat_Jun__6_01:11:09_2026,full,okay,,2026-06-08T16:14:41,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/044_Sat_Jun__6_01:11:09_2026.mp4""]"
pen_in_cup,45,Sat_Jun__6_01:11:36_2026,partial,okay,,2026-06-08T16:15:05,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/045_Sat_Jun__6_01:11:36_2026.mp4""]"
pen_in_cup,46,Sat_Jun__6_01:12:25_2026,full,okay,,2026-06-08T16:15:15,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/046_Sat_Jun__6_01:12:25_2026.mp4""]"
pen_in_cup,47,Sat_Jun__6_01:30:12_2026,full,better,,2026-06-08T16:15:20,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/047_Sat_Jun__6_01:30:12_2026.mp4""]"
pen_in_cup,48,Sat_Jun__6_01:30:39_2026,full,better,,2026-06-08T16:15:29,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/048_Sat_Jun__6_01:30:39_2026.mp4""]"
pen_in_cup,49,Sat_Jun__6_01:31:07_2026,full,okay,,2026-06-08T16:15:56,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/049_Sat_Jun__6_01:31:07_2026.mp4""]"
pen_in_cup,50,Sat_Jun__6_01:31:33_2026,full,better,,2026-06-08T16:16:23,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/050_Sat_Jun__6_01:31:33_2026.mp4""]"
pen_in_cup,51,Sun_Jun__7_12:14:28_2026,full,better,,2026-06-08T16:16:31,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/051_Sun_Jun__7_12:14:28_2026.mp4""]"
pen_in_cup,52,Sun_Jun__7_12:18:51_2026,full,better,,2026-06-08T16:16:39,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/052_Sun_Jun__7_12:18:51_2026.mp4""]"
pen_in_cup,53,Sun_Jun__7_12:19:18_2026,partial,better,,2026-06-08T16:17:03,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/053_Sun_Jun__7_12:19:18_2026.mp4""]"
pen_in_cup,54,Sun_Jun__7_12:20:19_2026,full,better,,2026-06-08T16:17:18,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/054_Sun_Jun__7_12:20:19_2026.mp4""]"
pen_in_cup,55,Sun_Jun__7_12:22:13_2026,full,okay,,2026-06-08T16:17:30,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/055_Sun_Jun__7_12:22:13_2026.mp4""]"
pen_in_cup,56,Sun_Jun__7_12:23:00_2026,full,better,,2026-06-08T16:17:36,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/056_Sun_Jun__7_12:23:00_2026.mp4""]"
pen_in_cup,57,Sun_Jun__7_12:26:19_2026,full,better,,2026-06-08T16:17:41,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/057_Sun_Jun__7_12:26:19_2026.mp4""]"
pen_in_cup,58,Sun_Jun__7_12:30:39_2026,partial,better,,2026-06-08T16:17:54,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/058_Sun_Jun__7_12:30:39_2026.mp4""]"
pen_in_cup,59,Sun_Jun__7_12:31:20_2026,full,better,,2026-06-08T16:17:59,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/059_Sun_Jun__7_12:31:20_2026.mp4""]"
pen_in_cup,60,Sun_Jun__7_12:33:06_2026,full,better,,2026-06-08T16:18:22,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/060_Sun_Jun__7_12:33:06_2026.mp4""]"
pen_in_cup,61,Sun_Jun__7_12:34:27_2026,full,better,,2026-06-08T16:18:30,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/061_Sun_Jun__7_12:34:27_2026.mp4""]"
pen_in_cup,62,Sun_Jun__7_12:36:28_2026,partial,better,,2026-06-08T16:18:37,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/062_Sun_Jun__7_12:36:28_2026.mp4""]"
pen_in_cup,63,Sun_Jun__7_12:37:43_2026,full,better,,2026-06-08T16:18:45,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/063_Sun_Jun__7_12:37:43_2026.mp4""]"
pen_in_cup,64,Sun_Jun__7_12:38:14_2026,full,better,,2026-06-08T16:18:57,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/064_Sun_Jun__7_12:38:14_2026.mp4""]"
pen_in_cup,65,Sun_Jun__7_12:39:32_2026,full,better,,2026-06-08T16:19:16,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/065_Sun_Jun__7_12:39:32_2026.mp4""]"
pen_in_cup,66,Sun_Jun__7_12:41:21_2026,partial,okay,,2026-06-08T16:19:30,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/066_Sun_Jun__7_12:41:21_2026.mp4""]"
pen_in_cup,67,Sun_Jun__7_12:42:15_2026,full,better,,2026-06-08T16:19:35,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/067_Sun_Jun__7_12:42:15_2026.mp4""]"
pen_in_cup,68,Sun_Jun__7_12:42:51_2026,partial,better,,2026-06-08T16:19:41,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/068_Sun_Jun__7_12:42:51_2026.mp4""]"
pen_in_cup,69,Sun_Jun__7_12:45:46_2026,partial,okay,,2026-06-08T16:19:47,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/069_Sun_Jun__7_12:45:46_2026.mp4""]"
pen_in_cup,70,Sun_Jun__7_12:50:32_2026,full,better,,2026-06-08T16:19:55,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/070_Sun_Jun__7_12:50:32_2026.mp4""]"
pen_in_cup,71,Sun_Jun__7_12:51:27_2026,full,better,,2026-06-08T16:20:06,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/071_Sun_Jun__7_12:51:27_2026.mp4""]"
pen_in_cup,72,Sun_Jun__7_12:53:19_2026,full,better,,2026-06-08T16:20:27,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/072_Sun_Jun__7_12:53:19_2026.mp4""]"
pen_in_cup,73,Sun_Jun__7_12:54:45_2026,partial,okay,,2026-06-08T16:20:44,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/073_Sun_Jun__7_12:54:45_2026.mp4""]"
pen_in_cup,74,Sun_Jun__7_12:55:24_2026,full,better,,2026-06-08T16:20:50,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/074_Sun_Jun__7_12:55:24_2026.mp4""]"
pen_in_cup,75,Sun_Jun__7_12:56:18_2026,partial,better,,2026-06-08T16:21:05,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/075_Sun_Jun__7_12:56:18_2026.mp4""]"
pen_in_cup,76,Sun_Jun__7_12:58:06_2026,full,better,,2026-06-08T16:21:09,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/076_Sun_Jun__7_12:58:06_2026.mp4""]"
pen_in_cup,77,Sun_Jun__7_12:59:11_2026,partial,better,,2026-06-08T16:21:15,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/077_Sun_Jun__7_12:59:11_2026.mp4""]"
pen_in_cup,78,Sun_Jun__7_12:59:46_2026,partial,okay,,2026-06-08T16:21:21,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/078_Sun_Jun__7_12:59:46_2026.mp4""]"
pen_in_cup,79,Sun_Jun__7_13:00:57_2026,full,better,,2026-06-08T16:21:26,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/079_Sun_Jun__7_13:00:57_2026.mp4""]"
pen_in_cup,80,Sun_Jun__7_13:03:22_2026,full,better,,2026-06-08T16:21:32,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/080_Sun_Jun__7_13:03:22_2026.mp4""]"
pen_in_cup,81,Sun_Jun__7_13:04:05_2026,full,better,,2026-06-08T16:21:46,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/081_Sun_Jun__7_13:04:05_2026.mp4""]"
pen_in_cup,82,Sun_Jun__7_13:04:58_2026,full,better,,2026-06-08T16:21:51,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/082_Sun_Jun__7_13:04:58_2026.mp4""]"
pen_in_cup,83,Sun_Jun__7_13:05:36_2026,full,better,,2026-06-08T16:21:56,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/083_Sun_Jun__7_13:05:36_2026.mp4""]"
pen_in_cup,84,Sun_Jun__7_13:06:16_2026,partial,better,,2026-06-08T16:22:06,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/084_Sun_Jun__7_13:06:16_2026.mp4""]"
pen_in_cup,85,Sun_Jun__7_13:07:22_2026,full,better,,2026-06-08T16:22:11,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/085_Sun_Jun__7_13:07:22_2026.mp4""]"
pen_in_cup,86,Sun_Jun__7_13:08:13_2026,full,better,,2026-06-08T16:22:15,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/086_Sun_Jun__7_13:08:13_2026.mp4""]"
pen_in_cup,87,Sun_Jun__7_13:08:41_2026,full,better,,2026-06-08T16:22:20,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/087_Sun_Jun__7_13:08:41_2026.mp4""]"
pen_in_cup,88,Sun_Jun__7_13:10:05_2026,full,better,,2026-06-08T16:22:25,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/088_Sun_Jun__7_13:10:05_2026.mp4""]"
pen_in_cup,89,Sun_Jun__7_13:11:11_2026,full,okay,,2026-06-08T16:22:31,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/089_Sun_Jun__7_13:11:11_2026.mp4""]"
pen_in_cup,90,Sun_Jun__7_13:12:05_2026,partial,better,,2026-06-08T16:22:45,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/090_Sun_Jun__7_13:12:05_2026.mp4""]"
pen_in_cup,91,Sun_Jun__7_13:13:04_2026,full,okay,,2026-06-08T16:22:51,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/091_Sun_Jun__7_13:13:04_2026.mp4""]"
pen_in_cup,92,Sun_Jun__7_13:13:40_2026,partial,better,,2026-06-08T16:22:57,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/092_Sun_Jun__7_13:13:40_2026.mp4""]"
pen_in_cup,93,Sun_Jun__7_13:14:29_2026,full,better,,2026-06-08T16:23:09,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/093_Sun_Jun__7_13:14:29_2026.mp4""]"
pen_in_cup,94,Sun_Jun__7_13:16:38_2026,full,better,,2026-06-08T16:23:15,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/094_Sun_Jun__7_13:16:38_2026.mp4""]"
pen_in_cup,95,Sun_Jun__7_13:17:15_2026,full,better,,2026-06-08T16:23:20,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/095_Sun_Jun__7_13:17:15_2026.mp4""]"
pen_in_cup,96,Sun_Jun__7_13:17:52_2026,full,better,,2026-06-08T16:23:30,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/096_Sun_Jun__7_13:17:52_2026.mp4""]"
pen_in_cup,97,Sun_Jun__7_13:19:17_2026,full,better,,2026-06-08T16:23:34,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/097_Sun_Jun__7_13:19:17_2026.mp4""]"
pen_in_cup,98,Sun_Jun__7_13:19:42_2026,partial,okay,,2026-06-08T16:23:48,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/098_Sun_Jun__7_13:19:42_2026.mp4""]"
pen_in_cup,99,Sun_Jun__7_13:20:22_2026,full,okay,,2026-06-08T16:23:58,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/099_Sun_Jun__7_13:20:22_2026.mp4""]"
pen_in_cup,100,Sun_Jun__7_13:22:29_2026,full,better,,2026-06-08T16:24:03,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/100_Sun_Jun__7_13:22:29_2026.mp4""]"
pen_in_cup,101,Sun_Jun__7_13:22:58_2026,full,okay,,2026-06-08T16:24:19,"[""/Users/jasonyan/Desktop/demonstration-information/pen_in_cup_annotation_app/videos/proxy/101_Sun_Jun__7_13:22:58_2026.mp4""]"
